file,experiment_no,experiment_total,users,timestamp,stage_users,stage_pass,login_ok_num,login_ok_den,login_fail,cycle_ok_num,cycle_ok_den,cycle_fail,create_post_2xx,create_post_3xx,create_post_4xx,create_post_5xx,create_post_avg,create_post_fail,create_post_max,create_post_mean,create_post_min,create_post_ok,create_post_ok_rate,create_post_p95,create_post_p99,create_post_p99_9,create_post_timeout,create_post_total,list_posts_2xx,list_posts_3xx,list_posts_4xx,list_posts_5xx,list_posts_avg,list_posts_fail,list_posts_max,list_posts_mean,list_posts_min,list_posts_ok,list_posts_ok_rate,list_posts_p95,list_posts_p99,list_posts_p99_9,list_posts_timeout,list_posts_total,login_2xx,login_3xx,login_4xx,login_5xx,login_avg,login_max,login_mean,login_min,login_ok,login_ok_rate,login_p95,login_p99,login_p99_9,login_timeout,login_total
cluster_exp1_1000_20260227_015436.txt,1,5,1000,2026-02-27 01:56:48 UTC,1000,yes,1000,1000,0,29986,30000,14,29986,0,0,0,43.20,14,614.00,43.20,1.00,29986,99.95%,145.00,314.00,600.00,0,30000,30000,0,0,0,30.47,0,412.00,30.47,0.00,30000,100.00%,86.00,197.00,345.00,0,30000,1000,0,0,0,69.01,327.00,69.01,4.00,1000,100.00%,211.00,321.00,325.00,0,1000
cluster_exp1_1250_20260227_015436.txt,1,5,1250,2026-02-27 01:57:28 UTC,1250,yes,1250,1250,0,37499,37500,1,37499,0,0,1,35.84,1,651.00,35.84,1.00,37499,100.00%,140.00,514.00,631.00,0,37500,37500,0,0,0,24.45,0,445.00,24.45,0.00,37500,100.00%,97.00,264.00,430.00,0,37500,1250,0,0,0,71.07,284.00,71.07,7.00,1250,100.00%,146.00,259.00,283.00,0,1250
cluster_exp1_1500_20260227_015436.txt,1,5,1500,2026-02-27 01:58:08 UTC,1500,yes,1500,1500,0,44997,45000,3,44997,0,0,3,92.06,3,1399.00,92.06,1.00,44997,99.99%,280.00,527.00,1384.00,0,45000,45000,0,0,0,63.73,0,436.00,63.73,0.00,45000,100.00%,206.00,307.00,391.00,0,45000,1500,0,0,0,67.92,238.00,67.92,9.00,1500,100.00%,148.00,177.00,238.00,0,1500
cluster_exp1_1750_20260227_015436.txt,1,5,1750,2026-02-27 01:58:49 UTC,1750,yes,1750,1750,0,51582,51793,211,51582,0,0,5,83.62,211,3389.00,83.62,1.00,51582,99.59%,295.00,731.00,3376.00,185,51793,51792,0,0,0,45.47,1,792.00,45.47,0.00,51792,100.00%,186.00,369.00,633.00,0,51793,1750,0,0,0,65.48,208.00,65.48,8.00,1750,100.00%,151.00,187.00,208.00,0,1750
cluster_exp1_2000_20260227_015436.txt,1,5,2000,2026-02-27 01:59:30 UTC,2000,no,2000,2000,0,53384,55813,2429,53384,0,0,1655,359.17,2429,4062.00,359.17,1.00,53384,95.65%,742.00,3050.00,3157.00,774,55813,55775,0,0,0,296.10,38,3137.00,296.10,0.00,55775,99.93%,562.00,941.00,2912.00,38,55813,2000,0,0,0,66.35,196.00,66.35,5.00,2000,100.00%,134.00,169.00,177.00,0,2000
cluster_exp1_2250_20260227_015436.txt,1,5,2250,2026-02-27 02:00:12 UTC,2250,yes,2250,2250,0,54976,55842,866,55010,0,0,335,574.84,832,3627.00,574.84,38.00,55010,98.51%,876.00,2311.00,3546.00,497,55842,55567,0,0,0,515.85,275,3625.00,515.85,1.00,55567,99.51%,801.00,1287.00,3283.00,275,55842,2250,0,0,0,69.11,330.00,69.11,6.00,2250,100.00%,140.00,168.00,197.00,0,2250
cluster_exp1_2500_20260227_015436.txt,1,5,2500,2026-02-27 02:00:53 UTC,2500,no,2500,2500,0,54219,57356,3137,54445,0,0,1889,617.67,2911,19782.00,617.67,6.00,54445,94.92%,1018.00,4056.00,13500.00,1022,57356,56531,0,0,0,522.29,825,19783.00,522.29,2.00,56531,98.56%,764.00,3130.00,12369.00,825,57356,2500,0,0,0,59.35,294.00,59.35,5.00,2500,100.00%,125.00,232.00,294.00,0,2500
cluster_exp1_250_20260227_015436.txt,1,5,250,2026-02-27 01:54:49 UTC,250,yes,250,250,0,7498,7500,2,7498,0,0,0,12.26,2,217.00,12.26,1.00,7498,99.97%,27.00,119.00,153.00,0,7500,7498,0,0,0,10.33,2,215.00,10.33,0.00,7498,99.97%,25.00,80.00,140.00,0,7500,250,0,0,0,129.05,268.00,129.05,63.00,250,100.00%,212.00,245.00,268.00,0,250
cluster_exp1_2750_20260227_015436.txt,1,5,2750,2026-02-27 02:01:36 UTC,2750,no,2750,2750,0,56895,59218,2323,57479,0,0,1647,710.45,1739,3812.00,710.45,71.00,57479,97.06%,965.00,1543.00,3749.00,92,59218,58634,0,0,584,680.44,584,2687.00,680.44,69.00,58634,99.01%,952.00,1383.00,2574.00,0,59218,2750,0,0,0,60.42,348.00,60.42,6.00,2750,100.00%,114.00,145.00,347.00,0,2750
cluster_exp1_3000_20260227_015436.txt,1,5,3000,2026-02-27 02:02:18 UTC,3000,yes,3000,3000,0,59887,60817,930,60073,0,0,244,766.51,744,4145.00,766.51,14.00,60073,98.78%,1355.00,3023.00,3710.00,500,60817,60494,0,0,0,674.20,323,3733.00,674.20,19.00,60494,99.47%,1201.00,1806.00,3656.00,323,60817,3000,0,0,0,50.81,269.00,50.81,6.00,3000,100.00%,112.00,199.00,268.00,0,3000
cluster_exp1_500_20260227_015436.txt,1,5,500,2026-02-27 01:55:29 UTC,500,yes,500,500,0,15000,15000,0,15000,0,0,0,21.38,0,245.00,21.38,1.00,15000,100.00%,62.00,164.00,242.00,0,15000,15000,0,0,0,15.67,0,149.00,15.67,0.00,15000,100.00%,48.00,83.00,124.00,0,15000,500,0,0,0,87.77,287.00,87.77,4.00,500,100.00%,248.00,278.00,287.00,0,500
cluster_exp1_750_20260227_015436.txt,1,5,750,2026-02-27 01:56:08 UTC,750,yes,750,750,0,22468,22500,32,22468,0,0,1,48.00,32,458.00,48.00,1.00,22468,99.86%,152.00,273.00,400.00,0,22500,22500,0,0,0,37.46,0,282.00,37.46,0.00,22500,100.00%,119.00,185.00,249.00,0,22500,750,0,0,0,66.79,236.00,66.79,13.00,750,100.00%,207.00,232.00,236.00,0,750
cluster_exp2_1000_20260227_015436.txt,2,5,1000,2026-02-27 02:04:58 UTC,1000,yes,1000,1000,0,29993,30000,7,29993,0,0,0,32.66,7,473.00,32.66,1.00,29993,99.98%,79.00,300.00,362.00,0,30000,29999,0,0,0,21.63,1,223.00,21.63,0.00,29999,100.00%,55.00,119.00,170.00,0,30000,1000,0,0,0,74.52,214.00,74.52,12.00,1000,100.00%,169.00,205.00,212.00,0,1000
cluster_exp2_1250_20260227_015436.txt,2,5,1250,2026-02-27 02:05:38 UTC,1250,yes,1250,1250,0,37496,37500,4,37496,0,0,1,38.25,4,582.00,38.25,1.00,37496,99.99%,83.00,456.00,510.00,0,37500,37500,0,0,0,22.70,0,354.00,22.70,0.00,37500,100.00%,60.00,127.00,313.00,0,37500,1250,0,0,0,70.34,187.00,70.34,3.00,1250,100.00%,151.00,177.00,187.00,0,1250
cluster_exp2_1500_20260227_015436.txt,2,5,1500,2026-02-27 02:06:19 UTC,1500,yes,1500,1500,0,44980,44986,6,44980,0,0,1,65.55,6,1522.00,65.55,1.00,44980,99.99%,315.00,802.00,1475.00,0,44986,44986,0,0,0,38.70,0,1002.00,38.70,0.00,44986,100.00%,167.00,374.00,622.00,0,44986,1500,0,0,0,67.35,220.00,67.35,8.00,1500,100.00%,151.00,184.00,205.00,0,1500
cluster_exp2_1750_20260227_015436.txt,2,5,1750,2026-02-27 02:07:00 UTC,1750,yes,1750,1750,0,51858,51871,13,51858,0,0,1,85.18,13,2536.00,85.18,1.00,51858,99.97%,308.00,1912.00,2357.00,0,51871,51871,0,0,0,42.09,0,706.00,42.09,0.00,51871,100.00%,151.00,310.00,430.00,0,51871,1750,0,0,0,62.11,244.00,62.11,7.00,1750,100.00%,162.00,232.00,244.00,0,1750
cluster_exp2_2000_20260227_015436.txt,2,5,2000,2026-02-27 02:07:41 UTC,2000,yes,2000,2000,0,58040,58198,158,58040,0,0,123,201.17,158,2381.00,201.17,1.00,58040,99.73%,540.00,1678.00,2256.00,0,58198,58198,0,0,0,140.50,0,1659.00,140.50,0.00,58198,100.00%,366.00,519.00,1006.00,0,58198,2000,0,0,0,64.44,370.00,64.44,8.00,2000,100.00%,137.00,225.00,304.00,0,2000
cluster_exp2_2250_20260227_015436.txt,2,5,2250,2026-02-27 02:08:22 UTC,2250,yes,2250,2250,0,57813,58379,566,57813,0,0,504,507.50,566,3269.00,507.50,2.00,57813,99.03%,819.00,1141.00,3042.00,61,58379,58332,0,0,0,463.34,47,3597.00,463.34,1.00,58332,99.92%,782.00,1206.00,2205.00,47,58379,2250,0,0,0,72.48,541.00,72.48,8.00,2250,100.00%,178.00,274.00,417.00,0,2250
cluster_exp2_2500_20260227_015436.txt,2,5,2500,2026-02-27 02:09:04 UTC,2500,no,2500,2500,0,51663,54484,2821,51729,0,0,2462,695.93,2755,3704.00,695.93,24.00,51729,94.94%,1048.00,2259.00,3148.00,293,54484,54194,0,0,12,663.45,290,3182.00,663.45,4.00,54194,99.47%,883.00,1756.00,3086.00,278,54484,2500,0,0,0,65.70,518.00,65.70,4.00,2500,100.00%,135.00,445.00,515.00,0,2500
